"notation","title","description","id","title_en","description_en"
"1","Aufbau und von den Eigenschaften der Stoffe und ihrer Teilchen","Die Art, Anordnung und Wechselwirkung der Teilchen bestimmen die Struktur und die Eigenschaften eines Stoffes und können daher durch ein Basiskonzept inhaltlich kohärent beschrieben werden. Insbesondere die Betrachtung sowohl auf der Stoffebene als auch auf der Teilchenebene hat dabei eine große Bedeutung und zeigt sich z. B. in den nachfolgend aufgelisteten Zusammenhängen. Innerhalb dieses Basiskonzeptes werden Typen der chemischen Bindung, Verbindungen mit funktionellen Gruppen, Strukturen ausgewählter organischer und anorganischer Stoffe sowie Natur- und Kunststoffe vorgestellt. Dabei soll auch der Zusammenhang zwischen den Eigenschaften ausgewählter Stoffe und deren Verwendung hergestellt werden:","u2f",,
"1.1","Atom- und Molekülbau,","","v4r",,
"1.2","chemische Bindung,","","r9h",,
"1.3","Modifikationen,","","q9b",,
"1.4","funktionelle Gruppen,","","b3u",,
"1.5","Isomerie,","","y5t",,
"1.6","inter- und intramolekulare Wechselwirkungen,","","x7h",,
"1.7","Stoffeigenschaften,","","v7x",,
"1.8","Stoffklassen,","","c4h",,
"1.9","analytische Verfahren (qualitativ/quantitativ),","","u7p",,
"1.10","Verwendungsmöglichkeiten.","","s9y",,
"2","Die chemische Reaktion","Chemische Reaktionen spielen in der Chemie eine zentrale Rolle und werden in diesem Basiskonzept in den folgenden Zusammenhängen systematisch betrachtet: Donator-Akzeptor-Prinzipien bei Protonen und Elektronenübergängen; Reaktionsmechanismen in der organischen Chemie.","x5f",,
"2.1","Donator-Akzeptor,","","t5r",,
"2.2","Umkehrbarkeit,","","t9f",,
"2.3","Gleichgewicht,","","b9g",,
"2.4","Reaktionstypen,","","g2z",,
"2.5","Mechanismen,","","g3g",,
"2.6","Steuerung.","","z2f",,
"3","Energiekonzep","""""Energetische Betrachtungen spielen eine wichtige Rolle zur Beschreibung von Teilchen- und Stoffumwandlungen. In diesem Zusammenhang ist auch die Beeinflussung von Reaktionsabläufen durch die Änderung energetischer Parameter bedeutsam. So können z. B. folgende Zusammenhänge betrachtet werden: Thermodynamische Prinzipien beim Ablauf chemischer und physikalisch-chemischer Vorgänge, kinetische Prinzipien beim Ablauf chemischer Reaktionen.\n\nHierbei werden die Reaktionsverläufe auch mechanistisch betrachtet.""""","s7c",,
"3.1","Energieformen, -umwandlung, -kreislauf,","","c9a",,
"3.2","Aktivierungsenergie/Katalyse","","d3z",,
"3.3","Energie chemischer Bindungen/Wechselwirkungen,","","x9e",,
"3.4","Reaktionskinetik,","","e2a",,
"3.5","Enthalpie/Entropie.","","v4q",,